| 16.02.2026 | Datenrepräsentation I: Zahlensysteme (Binär, Dezimal, Hexadezimal) |
| 02.03.2026 | Datenrepräsentation II: Zeichencodierung (ASCII, Unicode) |
| 09.03.2026 | Datenrepräsentation III: Bilder (RGB, Pixel, Auflösung) |
| 16.03.2026 | Algorithmusbegriff: Definition, Eigenschaften, Notation |
| 23.03.2026 | Algorithmusdarstellung: Pseudocode und Struktogramme |
| 30.03.2026 | Flussdiagramme und Zustandsdiagramme |
| 13.04.2026 | TEST 1: Datenrepräsentation & Algorithmusdarstellung |
| 04.05.2026 | Funktionen I: Wiederholung und Vertiefung (Parameter, Return) |
| 11.05.2026 | Funktionen II: Scope und Namensräume (lokal vs. global) |
| 18.05.2026 | Funktionen III: Modularisierung und Code-Organisation |
| 01.06.2026 | Funktionen IV: Rekursive Funktionen vertiefen |
| 08.06.2026 | Prüfungsvorbereitung und Übungen Unterprogramme |
| 15.06.2026 | TEST 2: Unterprogramme (Funktionen, Scope, Modularisierung) |
| 22.06.2026 | Mini-Projekt I: Funktionsbasierte Anwendung entwickeln |
| 29.06.2026 | Mini-Projekt II: Fertigstellung und Präsentation |
| 06.07.2026 | Reflexion, Ausblick 3. Semester, Feedbackrunde |
