| 18.08.2025 | 1eW I Was ist Informatik |
| 25.08.2025 | 1eW I Vorbereiten der Arbeitsumgebung |
| 01.09.2025 | 1eW I Problemlösung in der Informatik |
| 08.09.2025 | 1eW I Variablen als Wegweiser zu Objekten |
| 15.09.2025 | 1eW I Schlaufen |
| 22.09.2025 | 1eW I Bedingungen |
| 20.10.2025 | 1eW I Anwendungsübung |
| 27.10.2025 | 1eW I Individuelle Prüfungsvorbereitung |
| 03.11.2025 | 1eW I Test |
| 10.11.2025 | 1eW I Datenstrukturen |
| 17.11.2025 | 1eW I Datenstrukturen |
| 24.11.2025 | 1eW I Algorithmen |
| 01.12.2025 | 1eW I Algorithmen |
| 08.12.2025 | 1eW I Wiederholung ohne Schleife (Rekursion) |
| 15.12.2025 | 1eW I Anwendungsübungen |
| 05.01.2026 | 1eW I Individuelle Prüfungsvorbereitung |
| 12.01.2026 | 1eW I Test |
